Municipality Code,Municipality Name,Registered Voters,Issued Envelopes,Valid Votes,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
573507,Star· Paka,1 659,1 080,1 071,"13,25 %","0,09 %","0,46 %","5,22 %","0,09 %","6,53 %","7,37 %","0,84 %","1,30 %","1,96 %","0,18 %","0,00 %","11,85 %","0,00 %","1,77 %","31,37 %","0,18 %","0,00 %","6,62 %","0,09 %","0,28 %","0,18 %","9,89 %","0,37 %"
530735,StarÈ Hrady,150,111,110,"19,09 %","0,00 %","0,00 %","4,54 %","0,00 %","3,63 %","8,18 %","0,90 %","1,81 %","0,00 %","0,00 %","0,00 %","5,45 %","0,00 %","7,27 %","32,72 %","0,90 %","0,00 %","1,81 %","0,90 %","0,00 %","0,00 %","12,72 %","0,00 %"
549096,StarÈ MÌsto,258,140,140,"8,57 %","0,00 %","0,00 %","2,85 %","0,00 %","5,00 %","10,00 %","0,00 %","0,71 %","0,00 %","0,00 %","0,71 %","10,00 %","0,00 %","5,71 %","33,57 %","0,00 %","3,57 %","2,14 %","0,71 %","0,00 %","0,00 %","16,42 %","0,00 %"
573523,StarÈ Smrkovice,210,97,96,"2,08 %","1,04 %","1,04 %","6,25 %","0,00 %","2,08 %","11,45 %","0,00 %","2,08 %","1,04 %","0,00 %","0,00 %","13,54 %","0,00 %","1,04 %","41,66 %","0,00 %","0,00 %","0,00 %","1,04 %","0,00 %","1,04 %","14,58 %","0,00 %"
573540,St¯evaË,238,108,108,"5,55 %","1,85 %","0,00 %","7,40 %","0,00 %","5,55 %","5,55 %","3,70 %","3,70 %","0,00 %","0,00 %","0,00 %","7,40 %","0,00 %","2,77 %","40,74 %","0,00 %","0,00 %","4,62 %","0,92 %","0,00 %","0,00 %","9,25 %","0,92 %"
548880,Sukorady,178,130,130,"5,38 %","0,00 %","0,00 %","5,38 %","0,00 %","6,15 %","12,30 %","0,00 %","0,00 %","1,53 %","0,00 %","0,00 %","9,23 %","0,00 %","3,07 %","46,92 %","0,00 %","0,00 %","3,84 %","1,53 %","0,00 %","0,76 %","3,07 %","0,76 %"
573302,Svatojansk˝ ⁄jezd,73,48,47,"10,63 %","0,00 %","0,00 %","4,25 %","0,00 %","10,63 %","6,38 %","0,00 %","0,00 %","2,12 %","0,00 %","0,00 %","12,76 %","0,00 %","0,00 %","21,27 %","0,00 %","0,00 %","23,40 %","0,00 %","0,00 %","0,00 %","6,38 %","2,12 %"
573256,ä·rovcova Lhota,167,105,105,"7,61 %","0,95 %","0,00 %","1,90 %","0,00 %","10,47 %","8,57 %","4,76 %","0,00 %","3,80 %","0,00 %","0,00 %","12,38 %","0,00 %","4,76 %","29,52 %","0,00 %","0,95 %","3,80 %","0,95 %","0,95 %","0,00 %","8,57 %","0,00 %"
572756,TetÌn,127,76,76,"7,89 %","0,00 %","0,00 %","2,63 %","0,00 %","26,31 %","5,26 %","1,31 %","0,00 %","2,63 %","0,00 %","0,00 %","6,57 %","0,00 %","1,31 %","25,00 %","0,00 %","0,00 %","10,52 %","0,00 %","0,00 %","0,00 %","9,21 %","1,31 %"
573612,T¯ebnouöeves,239,145,145,"13,10 %","0,00 %","0,00 %","4,13 %","0,00 %","6,20 %","10,34 %","1,37 %","1,37 %","0,00 %","0,00 %","0,00 %","11,03 %","0,00 %","4,13 %","36,55 %","0,00 %","0,00 %","0,68 %","0,00 %","0,00 %","0,68 %","10,34 %","0,00 %"
